1017 Statistic "clientsCount":  279
┌─────────┬─────────┬───────────┬──────────┬──────────┐
│ (index) │   rss   │ heapTotal │ heapUsed │ external │
│   364   │ 65.712  │  26.022   │  13.358  │  1.364   │
│   365   │ 66.851  │   34.41   │  17.285  │  1.368   │
│   366   │ 70.808  │   34.41   │  18.051  │  1.368   │
│   367   │ 73.626  │  52.236   │  18.101  │   1.36   │
│   368   │ 74.367  │  52.236   │  24.873  │  1.364   │
│   369   │ 81.158  │  52.498   │  32.094  │  1.368   │
│   370   │ 87.658  │  52.498   │  28.886  │  1.372   │
│   371   │ 97.272  │  57.741   │  29.73   │  1.372   │
│   372   │ 97.579  │  58.003   │  37.661  │  1.376   │
│   373   │ 101.106 │  65.868   │  26.653  │   1.36   │
│   374   │ 63.844  │  25.235   │  22.985  │   1.36   │
│   375   │ 70.328  │   34.41   │  27.356  │  1.364   │
│   376   │ 77.038  │  46.469   │  24.64   │   1.36   │
│   377   │ 81.039  │  46.469   │  32.718  │  1.364   │
│   378   │ 86.315  │  46.469   │  31.559  │  1.364   │
│   379   │ 87.327  │   66.13   │  25.157  │   1.36   │
│   380   │ 87.327  │   66.13   │  30.858  │  1.364   │
│   381   │ 93.352  │   66.13   │  38.227  │  1.368   │
│   382   │ 99.021  │   66.13   │  33.827  │  1.368   │
│   383   │ 104.862 │   66.13   │  40.072  │  1.372   │
│   384   │ 105.914 │   66.13   │  38.685  │  1.372   │
│   385   │ 105.927 │  66.392   │  44.492  │  1.376   │
│   386   │ 107.876 │  71.897   │  20.873  │  1.364   │
│   387   │ 57.958  │   19.73   │  16.752  │   1.36   │
│   388   │ 62.521  │  23.138   │  18.718  │  1.364   │
│   389   │ 64.119  │  28.643   │  20.936  │  1.364   │
│   390   │ 68.207  │   29.43   │  23.049  │  1.364   │
│   391   │ 67.207  │   33.1    │  23.684  │  1.364   │
│   392   │ 64.795  │  25.498   │  23.48   │  1.368   │
│   393   │ 64.586  │   25.76   │  23.735  │  1.368   │
│   394   │ 65.835  │  26.284   │  24.731  │  1.368   │
│   395   │ 65.888  │   27.07   │  25.04   │  1.368   │
│   396   │ 66.183  │  27.333   │  25.291  │  1.368   │
│   397   │ 67.084  │  27.595   │  26.258  │  1.368   │
│   398   │ 67.326  │  28.119   │  26.457  │  1.368   │
│   399   │ 66.286  │  26.808   │  8.773   │  1.364   │
│   400   │ 66.458  │  26.808   │  9.802   │  1.364   │
│   401   │ 66.818  │   27.07   │  10.812  │  1.364   │
│   402   │  66.31  │  26.808   │  11.854  │  1.364   │
│   403   │ 69.849  │  29.954   │  13.905  │  1.368   │
│   404   │ 69.919  │   33.1    │  15.273  │  1.368   │
│   405   │ 67.809  │  27.857   │  16.235  │  1.372   │
│   406   │ 64.676  │   25.76   │  13.788  │   1.36   │
│   407   │ 65.991  │  31.003   │   16.5   │  1.364   │
│   408   │ 70.386  │  31.003   │  19.253  │  1.368   │
│   409   │ 70.992  │  31.003   │  20.506  │  1.368   │
│   410   │ 70.681  │  42.017   │  19.941  │  1.364   │
│   411   │ 76.022  │  42.017   │  20.883  │  1.368   │
